Date,Location,Reference,start,end
03 Apr 2023,Spatial@Hougang,S804871GFC,9:00 AM,11:00 AM
03 Apr 2023,Spatial@Hougang,S036384TAC,12:00 PM,6:00 PM
04 Apr 2023,Spatial@Hougang,S504928JCC,10:00 AM,4:00 PM
10 Apr 2023,Spatial@Hougang,S866605EAC,9:00 AM,11:00 AM
10 Apr 2023,Spatial@Hougang,S042401HAC,12:00 PM,6:00 PM
12 Apr 2023,Spatial@Hougang,S510578KKC,12:00 PM,6:00 PM
18 Apr 2023,Spatial@Hougang,S338894LAC,10:00 AM,4:00 PM
25 Apr 2023,Spatial@Hougang,S967086AKC,10:00 AM,4:00 PM
26 Apr 2023,Spatial@Hougang,S837158DTC,9:00 AM,11:00 AM
26 Apr 2023,Spatial@Hougang,S015829LHC,12:00 PM,6:00 PM
03 May 2023,Spatial@Hougang,S482194MEC,9:00 AM,11:00 AM
03 May 2023,Spatial@Hougang,S562867KHC,12:00 PM,6:00 PM
09 May 2023,Spatial@Hougang,S769752GHC,10:00 AM,4:00 PM
10 May 2023,Spatial@Hougang,S202578HAC,12:00 PM,6:00 PM
16 May 2023,Spatial@Hougang,S813437BFC,10:00 AM,4:00 PM
